Date,Aord,Nikkei,Hsi,Daxi,Dji,Nasdaq,Sp500,Spy,NIFTY_Previous,NIFTY
2014-01-06,5327.700195,16147.540038999998,22732.830078,9409.660156,16456.89063,4148.560059,1833.209961,183.229996,6279.4300294,6220.850098
2014-01-07,5318.799805,15835.410156,22689.25,9419.44043,16474.03906,4137.029785,1832.310059,183.490005,6273.1000001,6203.899902
2014-01-08,5318.700195,15943.679688,22834.810547,9446.25,16429.01953,4128.569824,1828.709961,183.089996,6261.2599611,6178.049805
2014-01-09,5327.5,16002.879883,22925.230469,9512.790039,16527.66016,4154.279785,1837.900024,183.449997,6252.4199708,6181.700195
2014-01-10,5327.5,15785.150391,22735.929688,9492.240234,16471.41016,4179.040039,1839.0,184.110001,6241.0250001,6178.850098
2014-01-13,5296.799805,15785.150391,23046.410156,9473.870117,16453.61914,4168.939941,1840.060059,183.949997,6226.339990400001,6189.549805
2014-01-14,5219.799805,15657.200195,22637.550781,9497.919922,16434.0293,4167.410156,1841.26001,183.669998,6221.6299806,6260.25
2014-01-15,5255.5,15649.070313,22985.779297,9391.459961,16261.99023,4129.600098,1821.359985,182.289993,6217.4899903,6265.950195
2014-01-16,5319.399902,15845.150391,23085.140625,9590.570313,16378.03027,4196.529785,1840.52002,184.100006,6221.500000099999,6341.350098
2014-01-17,5319.399902,15695.459961000002,22898.480469,9742.209961,16477.69922,4209.589844,1847.98999,184.279999,6232.6700196,6306.25
2014-01-20,5307.600098,15724.139647999997,23048.130859,9718.200195,16408.01953,4207.819824,1844.22998,184.100006,6236.760009799999,6261.75
2014-01-21,5342.0,15710.889647999997,23040.839844,9713.200195,16408.01953,4207.819824,1844.22998,184.100006,6248.3850098,6320.149902
2014-01-22,5331.299805,15749.009766,22954.769531,9751.980469,16459.26953,4222.97998,1841.050049,184.699997,6261.4850098,6309.049805
2014-01-23,5275.5,15900.629883,23082.009766,9752.110352,16420.48047,4234.580078,1844.709961,184.490005,6275.9100098,6325.950195
2014-01-24,5275.5,15473.570313,22522.439453,9690.509766,16371.99023,4224.3598630000015,1842.290039,183.369995,6288.1899902,6301.649902
2014-01-27,5254.299805,15091.450195,22019.099609,9646.650391,16203.29004,4194.970215,1826.959961,181.600006,6287.864990200001,6186.299805
2014-01-28,5188.0,15038.639647999997,22012.509766,9389.169922,15879.04981,4132.220215,1791.030029,179.059998,6275.025,6131.850098
2014-01-29,5240.600098,15164.339844,22111.630859,9405.530273,15840.83984,4067.860107,1783.0,178.139999,6264.5299805,6161.0
